CRUISE_ID,DATE_UTC,TIME_UTC,DATE_LOCAL,TIME_LOCAL,LONGITUDE_DEC,LATITUDE_DEC,STATION_NO,NISKIN_NO,CTDPRS_DBAR,CTDTMP_DEG_C_ITS90,CTDTMP_FLAG_W,CTDSAL_PSS78,CTDSAL_FLAG_W,SIGMATHETA_KG_M3,CTDOXY_UMOL_KG_ADJ,CTDOXY_MG_L,CTDOXY_FLAG_W,OXYGEN_UMOL_KG,OXYGEN_MG_L_1,OXYGEN_MG_L_2,OXYGEN_MG_L_3,OXYGEN_FLAG_W,TA_UMOL_KG,DIC_UMOL_KG,TA_FLAG_W,DIC_FLAG_W,NITRATE_UMOL_KG,NITRATE_UMOL_L,NITRITE_UMOL_KG,NITRITE_UMOL_L,AMMONIUM_UMOL_KG,AMMONIUM_UMOL_L,PHOSPHATE_UMOL_KG,PHOSPHATE_UMOL_L,SILICATE_UMOL_KG,SILICATE_UMOL_L,NUTRIENTS_FLAG_W
CAB1023,9/29/14,17:06:09,9/29/14,10:06:09,-122.4537,47.7042,28,1,186.418,11.935,2,30.788,2,23.332,171.8,5.314,2,168.9,5.53,-999,-999,3,2118.3,2057.9,2,2,21.07,21.51,0.54,0.56,2.13,2.17,2.27,2.32,45.57,46.52,2
CAB1023,9/29/14,17:09:01,9/29/14,10:09:01,-122.4537,47.7042,28,2,153.388,12.01,2,30.729,2,23.273,171.7,5.311,2,173.7,5.688,-999,-999,3,2114.8,2053.4,2,2,20.99,21.43,0.57,0.58,2.14,2.18,2.23,2.28,44.31,45.23,2
CAB1023,9/29/14,17:11:46,9/29/14,10:11:46,-122.4537,47.7042,28,3,109.05,12.18,2,30.617,2,23.155,174.3,5.392,2,163.7,5.359,-999,-999,3,2106.4,2044.8,2,2,20.95,21.39,0.58,0.59,1.76,1.8,2.22,2.26,43.64,44.55,2
CAB1023,9/29/14,17:13:21,9/29/14,10:13:21,-122.4537,47.7042,28,4,79.315,12.21,2,30.578,2,23.119,171.4,5.301,2,188.3,6.165,-999,-999,3,2105,2044.5,2,2,21.15,21.59,0.6,0.62,1.7,1.74,2.22,2.27,43.09,43.99,2
CAB1023,9/29/14,17:15:22,9/29/14,10:15:22,-122.4537,47.7042,28,5,50.956,12.327,2,30.454,2,23.002,168.5,5.205,2,170,5.566,-999,-999,3,2100.9,2017.3,2,2,21.67,22.12,0.7,0.71,1.21,1.24,2.26,2.31,43.5,44.4,2
CAB1023,9/29/14,17:17:23,9/29/14,10:17:23,-122.4537,47.7042,28,6,31.324,12.693,2,30.281,2,22.799,182.5,5.653,2,185.2,6.06,-999,-999,3,2091.1,2017.6,2,2,19.35,19.75,0.68,0.69,1.93,1.97,2.16,2.21,43.07,43.96,2
CAB1023,9/29/14,17:19:06,9/29/14,10:19:06,-122.4537,47.7042,28,7,21.727,12.821,2,30.218,2,22.726,190.8,5.92,2,-999,-999,-999,-999,5,2085.1,2016.4,2,2,18.99,19.38,0.73,0.74,2.02,2.06,2.14,2.18,43,43.89,2
CAB1023,9/29/14,17:20:59,9/29/14,10:20:59,-122.4537,47.7042,28,8,9.883,13.011,2,30.125,2,22.618,212.2,6.609,2,180.4,5.903,-999,-999,3,2078.1,1994,2,2,17.25,17.6,0.64,0.65,1.65,1.68,1.94,1.98,40.66,41.5,2
CAB1023,9/29/14,17:22:34,9/29/14,10:22:34,-122.4537,47.7042,28,9,5.886,13.094,2,30.079,2,22.567,228.1,7.119,2,233.7,7.645,-999,-999,2,2096.3,1978.8,2,2,16.46,16.8,0.61,0.63,1.23,1.26,1.82,1.86,39.64,40.45,2
CAB1023,9/29/14,17:24:09,9/29/14,10:24:09,-122.4537,47.7042,28,10,1.387,13.105,2,30.071,2,22.558,230.7,7.201,2,-999,-999,-999,-999,9,-999,-999,9,9,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,9
CAB1023,9/29/14,17:25:18,9/29/14,10:25:18,-122.4537,47.7042,28,11,2.85,13.11,2,30.068,2,22.555,231.4,7.224,2,233.2,7.629,-999,-999,2,2085.1,1979,2,2,16.21,16.55,0.61,0.62,1.17,1.2,2.26,2.31,39.56,40.37,2
CAB1023,9/29/14,19:42:40,9/29/14,12:42:40,-122.4552,47.813,27,1,189.105,11.814,2,30.858,2,23.409,175.5,5.434,2,176.9,5.794,-999,-999,2,2124.3,2036.2,2,2,21.52,21.97,0.51,0.52,1.71,1.74,2.23,2.27,43.98,44.91,2
CAB1023,9/29/14,19:45:33,9/29/14,12:45:33,-122.4552,47.813,27,2,152.166,12.002,2,30.74,2,23.283,176.8,5.473,2,179.8,5.887,-999,-999,2,2114.5,2019.5,2,2,21.3,21.75,0.53,0.54,1.71,1.74,2.22,2.27,43.68,44.6,2
CAB1023,9/29/14,19:48:09,9/29/14,12:48:09,-122.4552,47.813,27,3,112.316,12.099,2,30.679,2,23.218,177.5,5.496,2,178.8,5.854,-999,-999,2,2111.5,2047.6,2,2,21.05,21.5,0.56,0.57,1.84,1.87,2.23,2.28,43.73,44.64,2
CAB1023,9/29/14,19:50:27,9/29/14,12:50:27,-122.4552,47.813,27,4,82.476,12.271,2,30.571,2,23.103,178.2,5.518,2,188,6.155,-999,-999,2,2104,2041.3,2,2,20.93,21.37,0.59,0.61,1.79,1.83,2.22,2.26,42.95,43.84,2
CAB1023,9/29/14,19:53:02,9/29/14,12:53:02,-122.4552,47.813,27,5,50.317,12.299,2,30.537,2,23.071,174.9,5.412,2,179.5,5.877,-999,-999,2,2101.3,2038.4,2,2,21.16,21.61,0.61,0.62,1.62,1.65,2.24,2.29,42.64,43.53,2
CAB1023,9/29/14,19:54:55,9/29/14,12:54:55,-122.4552,47.813,27,6,30.882,12.462,2,30.468,2,22.987,180.8,5.601,2,183.9,6.021,-999,-999,2,2103.8,2031.5,2,2,20.58,21,0.64,0.65,1.68,1.71,2.21,2.26,42.69,43.57,2
CAB1023,9/29/14,19:56:21,9/29/14,12:56:21,-122.4552,47.813,27,7,22.738,12.678,2,30.359,2,22.862,188.4,5.845,2,190.9,6.247,-999,-999,2,2094.2,2027.1,2,2,19.87,20.28,0.65,0.67,1.69,1.72,2.18,2.22,42.14,43.02,2
CAB1023,9/29/14,19:58:22,9/29/14,12:58:22,-122.4552,47.813,27,8,10.728,12.839,2,30.299,2,22.785,197.2,6.127,2,-999,-999,-999,-999,9,2096.4,2012.3,2,2,19.04,19.43,0.67,0.69,1.55,1.58,2.12,2.17,41.95,42.82,2
CAB1023,9/29/14,20:00:06,9/29/14,13:00:06,-122.4552,47.813,27,9,5.957,13.189,2,30.053,2,22.528,221.2,6.898,2,227,7.428,-999,-999,2,2082.8,1981.8,2,2,17.56,17.92,0.64,0.66,1.28,1.3,1.95,1.99,40.23,41.05,2
CAB1023,9/29/14,20:01:41,9/29/14,13:01:41,-122.4552,47.813,27,10,2.519,13.242,2,30.007,2,22.483,225.1,7.022,2,228,7.46,-999,-999,2,2086,-999,3,9,17.42,17.78,0.64,0.66,1.2,1.22,1.95,1.99,39.92,40.74,2
CAB1023,9/29/14,20:52:48,9/29/14,13:52:48,-122.3703,47.8822,5,1,229.571,11.851,2,30.778,2,23.34,160.2,4.94,2,162.1,5.308,-999,-999,2,2120.3,2066.6,2,2,21.58,22.04,0.59,0.6,2.56,2.61,2.41,2.46,45.84,46.8,2
CAB1023,9/29/14,20:56:50,9/29/14,13:56:50,-122.3703,47.8822,5,2,151.637,11.929,2,30.753,2,23.307,166.6,5.145,2,169.2,5.541,-999,-999,2,2119.6,2055.8,2,2,21.41,21.86,0.56,0.57,2.26,2.3,2.32,2.37,43.88,44.81,2
CAB1023,9/29/14,20:59:08,9/29/14,13:59:08,-122.3703,47.8822,5,3,111.668,12.003,2,30.731,2,23.276,171.9,5.315,2,174.6,5.717,-999,-999,2,2117.1,2030.4,2,2,21.36,21.81,0.56,0.57,1.95,1.99,2.27,2.32,43.58,44.49,2
CAB1023,9/29/14,21:01:18,9/29/14,14:01:18,-122.3703,47.8822,5,4,82.3,12.183,2,30.614,2,23.152,175.5,5.432,2,178.8,5.855,-999,-999,2,2104.5,2046.2,2,2,21.29,21.74,0.56,0.58,1.68,1.72,2.25,2.3,43.04,43.94,2
CAB1023,9/29/14,21:03:36,9/29/14,14:03:36,-122.3703,47.8822,5,5,51.162,12.387,2,30.479,2,23.009,175.5,5.43,2,176.2,5.769,-999,-999,2,2102.4,2023.8,2,2,21.26,21.7,0.63,0.64,1.48,1.51,2.25,2.29,42.62,43.5,2
CAB1023,9/29/14,21:05:37,9/29/14,14:05:37,-122.3703,47.8822,5,6,30.616,12.134,2,30.331,2,22.942,161.4,4.978,2,164.2,5.374,-999,-999,2,2092.2,2037,2,2,23.06,23.53,0.45,0.45,0.6,0.61,2.33,2.38,45.73,46.68,2
CAB1023,9/29/14,21:06:55,9/29/14,14:06:55,-122.3703,47.8822,5,7,20.68,12.135,2,30.181,2,22.825,159.1,4.903,2,160,5.236,-999,-999,2,2085.1,2040.8,3,3,23.73,24.22,0.33,0.34,0.21,0.21,2.36,2.41,45.31,46.24,2
CAB1023,9/29/14,21:08:21,9/29/14,14:08:21,-122.3703,47.8822,5,8,10.73,12.063,2,29.998,2,22.697,157.2,4.841,2,158.4,5.183,-999,-999,2,2071.3,2030,2,2,23.8,24.28,0.29,0.3,0.16,0.16,2.39,2.44,46.78,47.74,2
CAB1023,9/29/14,21:09:30,9/29/14,14:09:30,-122.3703,47.8822,5,9,5.754,12.672,2,29.505,2,22.202,191.8,5.949,2,211.8,6.927,-999,-999,2,2035.3,1966.4,3,3,18.2,18.57,0.37,0.37,0.63,0.64,2.02,2.06,39.99,40.79,2
CAB1023,9/29/14,21:10:48,9/29/14,14:10:48,-122.3703,47.8822,5,10,2.764,13.44,2,28.163,2,21.02,241.4,7.535,2,250.4,8.182,-999,-999,2,1982.1,1880.5,2,2,9.92,10.11,0.29,0.29,0.94,0.96,1.68,1.72,35.46,36.14,2
CAB1023,9/29/14,22:24:32,9/29/14,15:24:32,-122.3037,48.0162,1,1,101.565,11.924,2,30.612,2,23.198,154.5,4.756,2,-999,-999,-999,-999,5,2101.9,2043.6,2,2,23.85,24.35,0.32,0.33,0.95,0.97,2.53,2.58,48.95,49.97,2
CAB1023,9/29/14,22:26:41,9/29/14,15:26:41,-122.3037,48.0162,1,2,80.944,11.645,2,30.262,2,22.976,131.1,4.003,2,137.8,4.511,-999,-999,2,2088.5,-999,2,5,25.91,26.44,0.06,0.06,0.05,0.05,2.66,2.72,53.71,54.82,2
CAB1023,9/29/14,22:29:17,9/29/14,15:29:17,-122.3037,48.0162,1,3,50.84,11.349,2,30.091,2,22.896,125.1,3.81,2,-999,-999,-999,-999,5,2075.7,2070.8,2,2,26.83,27.38,0.06,0.06,0.04,0.04,2.68,2.74,55.3,56.43,2
CAB1023,9/29/14,22:31:09,9/29/14,15:31:09,-122.3037,48.0162,1,4,30.883,11.654,2,29.942,2,22.727,144.5,4.433,2,142.6,4.668,-999,-999,2,2067.9,2047.8,2,2,25.51,26.03,0.1,0.1,0.05,0.05,2.53,2.58,50.53,51.56,2
CAB1023,9/29/14,22:32:44,9/29/14,15:32:44,-122.3037,48.0162,1,5,20.78,11.835,2,29.798,2,22.583,153.5,4.722,2,154.8,5.066,-999,-999,2,2062.1,2025.9,3,3,24.28,24.77,0.2,0.21,0.06,0.07,2.41,2.46,47.17,48.13,2
CAB1023,9/29/14,22:34:28,9/29/14,15:34:28,-122.3037,48.0162,1,6,10.75,12.198,2,29.332,2,22.156,176.2,5.45,2,176.9,5.786,-999,-999,2,2042.8,1993,2,2,20.54,20.95,0.32,0.32,0.5,0.51,2.25,2.29,44.53,45.41,2
CAB1023,9/29/14,22:36:03,9/29/14,15:36:03,-122.3037,48.0162,1,7,4.963,13.319,2,28.062,2,20.965,234.3,7.307,2,243.6,7.957,-999,-999,2,1966.7,1876.4,3,3,8.3,8.45,0.25,0.26,1.06,1.08,1.66,1.69,35.19,35.85,2
CAB1023,9/29/14,22:37:21,9/29/14,15:37:21,-122.3037,48.0162,1,8,2.575,13.89,2,27.254,2,20.232,250.1,7.809,2,253.9,8.289,-999,-999,2,1942.1,1843.7,2,2,7.13,7.26,0.24,0.25,1.32,1.34,1.48,1.51,31.71,32.29,2
CAB1023,9/29/14,23:52:13,9/29/14,16:52:13,-122.4877,48.1073,3,1,127.843,11.918,2,30.5,2,23.112,149.6,4.599,2,142.1,4.652,-999,-999,2,2104.1,2036.1,2,2,24.11,24.61,0.34,0.35,0.07,0.07,2.48,2.53,48.25,49.26,2
CAB1023,9/29/14,23:54:06,9/29/14,16:54:06,-122.4877,48.1073,3,2,111.547,11.884,2,30.468,2,23.093,148.4,4.56,2,148.8,4.872,-999,-999,2,2107.4,2041.2,2,2,24.19,24.7,0.31,0.32,0.06,0.06,2.49,2.54,48.3,49.3,2
CAB1023,9/29/14,23:55:58,9/29/14,16:55:58,-122.4877,48.1073,3,3,81.571,11.871,2,30.468,2,23.096,147.9,4.545,2,-999,-999,-999,-999,5,2099.8,-999,3,5,24.35,24.85,0.33,0.33,0.11,0.11,2.52,2.57,49.4,50.43,2
CAB1023,9/29/14,23:58:08,9/29/14,16:58:08,-122.4877,48.1073,3,4,50.639,11.7,2,30.149,2,22.879,139.2,4.264,2,139,4.55,-999,-999,2,2087,2053.9,2,2,24.96,25.47,0.08,0.08,0.03,0.03,2.59,2.64,52.04,53.11,2
CAB1023,9/30/14,0:00:00,9/29/14,17:00:00,-122.4877,48.1073,3,5,30.437,11.644,2,30.048,2,22.81,137.3,4.203,2,135.8,4.446,-999,-999,2,2080.8,2049.6,3,3,24.95,25.46,0.09,0.09,0.06,0.06,2.64,2.69,53.15,54.23,2
CAB1023,9/30/14,0:01:18,9/29/14,17:01:18,-122.4877,48.1073,3,6,20.589,11.625,2,29.825,2,22.641,138.2,4.23,2,140.5,4.597,-999,-999,2,2057.4,2047.1,2,2,23.75,24.23,0.23,0.24,0.03,0.03,2.63,2.68,53.44,54.52,2
CAB1023,9/30/14,0:02:53,9/29/14,17:02:53,-122.4877,48.1073,3,7,10.543,12.426,2,29.034,2,21.884,187.2,5.799,2,203.5,6.653,-999,-999,2,2003.6,1955.3,2,2,15.78,16.1,0.29,0.29,0.56,0.57,2.13,2.17,43.07,43.92,2
CAB1023,9/30/14,0:04:19,9/29/14,17:04:19,-122.4877,48.1073,3,8,5.576,13.561,2,27.641,2,20.594,241.3,7.527,2,256.6,8.381,-999,-999,2,1912.5,1816.1,2,2,5.05,5.14,0.2,0.21,1.22,1.24,1.7,1.73,41.86,42.64,2
